PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
naked as the day you were born	7	1	459553 all
naked as the day one was born	7	1	459553 all
too big for one's breeches	5	1	1890382 all
bright as a new penny	5	1	281075 all
up in the air	4	2	336724 all 342139 all
up to my neck	4	1	1516605 all
deaf as a post	4	1	682521 all
up to her neck	4	1	1516605 all
up to his neck	4	1	1516605 all
out of the blue	4	1	930765 all
smart as a whip	4	1	1335156 all
up to our necks	4	1	1516605 all
up to your neck	4	1	1516605 all
wide of the mark	4	1	24241 all
in one's birthday suit	4	1	459553 all
in her right mind	4	1	2073834 all
in his right mind	4	1	2073834 all
in the public eye	4	1	1861648 all
up to their necks	4	1	1516605 all
naked as a jaybird	4	1	458266 all
out of the question	4	1	2418692 all
dressed to the nines	4	1	455824 all
hot under the collar	4	1	115094 all
in their right minds	4	1	2073834 all
off the beaten track	4	1	444220 all
in your birthday suit	4	1	459553 all
in a bad way	4	1	2457558 all
down in the mouth	4	1	703615 all
close at hand	3	2	448314 all 448644 all
side by side	3	2	447472 all 1974584 all
hundred and one	3	1	2196211 all
in high spirits	3	1	705498 all
in small stages	3	1	1143006 all
magna cum laude	3	1	2586608 all
of unsound mind	3	1	2076988 all
off one's guard	3	1	1932633 all
one hundred one	3	1	2196211 all
one hundred ten	3	1	2196439 all
out of practice	3	1	2230205 all
rolled into one	3	1	1330662 all
short and sweet	3	1	1443402 all
summa cum laude	3	1	2587407 all
common or garden	3	1	970803 all
contrary to fact	3	1	555709 all
fair to middling	3	1	2080937 all
hot and bothered	3	1	532560 all
on the offensive	3	1	1630033 all
one hundred five	3	1	2196333 all
sure as shooting	3	1	336041 all
upon one's guard	3	1	162661 all
well thought out	3	1	2420085 all
willing and able	3	1	2565939 all
without a stitch	3	1	460296 all
in the altogether	3	1	458266 all
non compos mentis	3	1	2076988 all
one hundred fifty	3	1	2197364 all
one hundred forty	3	1	2197130 all
one hundred sixty	3	1	2197595 all
ready and waiting	3	1	1931926 all
taken for granted	3	1	1618895 all
under the weather	3	1	2542325 all
one hundred eighty	3	1	2198069 all
one hundred ninety	3	1	2198187 all
one hundred thirty	3	1	2196891 all
one hundred twenty	3	1	2196657 all
thrown and twisted	3	1	256237 all
one hundred fifteen	3	1	2196543 all
one hundred seventy	3	1	2197828 all
one hundred fifty-five	3	1	2197476 all
one hundred forty-five	3	1	2197244 all
one hundred sixty-five	3	1	2197708 all
one hundred thirty-five	3	1	2197007 all
one hundred twenty-five	3	1	2196769 all
one hundred seventy-five	3	1	2197944 all
in straitened circumstances	3	1	2023661 all
a la mode	3	1	971506 all
at a loss	3	1	1765926 all
on the go	3	1	33359 all
a la carte	3	1	2453183 all
in the raw	3	1	458266 all
on the job	3	1	864461 all
out of use	3	1	1653857 all
a couple of	3	1	1553340 all
ill at ease	3	1	480439 all
in the buff	3	1	458266 all
in the lead	3	1	2490631 all
on the hook	3	1	2060359 all
on the nose	3	1	1839099 all
out of gear	3	1	1101264 all
out of play	3	1	100506 all
out of true	3	1	912637 all
out of work	3	1	865007 all
at the ready	3	1	1931034 all
full of life	3	1	119006 all
good for you	3	1	2558184 all
in the flesh	3	1	1768466 all
nip and tuck	3	1	551416 all
off the hook	3	1	2058379 all
on the fence	3	1	686356 all
on the loose	3	1	1062114 all
on the table	3	1	1024400 all
one and only	3	1	505410 all
out of place	3	1	138782 all
out of print	3	1	598536 all
out of reach	3	1	20410 all
out of sight	3	1	2517817 all
out of stock	3	1	186490 all
out of whack	3	1	1092727 all
set in stone	3	1	347880 all
true to life	3	1	1941383 all
comme il faut	3	1	1878870 all
ex post facto	3	1	1884744 all
fin de siecle	3	1	1004051 all
in good taste	3	1	689215 all
lying in wait	3	1	2089811 all
neck and neck	3	1	551416 all
of sound mind	3	1	2073678 all
off her guard	3	1	1932633 all
off his guard	3	1	1932633 all
on the button	3	1	1839099 all
on your guard	3	1	162661 all
ready to hand	3	1	19731 all
below the belt	3	1	957551 all
dead on target	3	1	23120 all
hard to please	3	1	710741 all
of the essence	3	1	1276150 all
