PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
beyond a shadow of a doubt	6	1	373216 all
on the spur of the moment	6	1	171135 all
on the face of it	5	1	39941 all
day in and day out	5	1	157000 all
as a matter of fact	5	1	148869 all
by hook or by crook	5	1	155765 all
in the nick of time	5	1	167575 all
for all intents and purposes	5	1	60300 all
not by a blame sight	5	1	57042 all
as luck would have it	5	1	42254 all
since a long time ago	5	1	160177 all
come hell or high water	5	1	156833 all
to all intents and purposes	5	1	60300 all
not by a long sight	5	1	57042 all
out of the way	4	6	40882 all 41393 all 41452 all 41232 all 41014 all 41133 all
in the first place	4	2	138410 all 167286 all
by word of mouth	4	2	156496 all 258088 all
all of a sudden	4	2	61677 all 151957 all
at the same time	4	2	120095 all 120223 all
time and time again	4	1	176981 all
to a greater extent	4	1	99341 all
when the time comes	4	1	165269 all
from start to finish	4	1	152286 all
hook line and sinker	4	1	164466 all
the other way around	4	1	177686 all
to the lowest degree	4	1	111758 all
in the adjacent house	4	1	240082 all
on an irregular basis	4	1	195185 all
to the highest degree	4	1	111609 all
in spite of appearance	4	1	104099 all
no matter what happens	4	1	156833 all
on an individual basis	4	1	207668 all
head and shoulders above	4	1	47239 all
in the adjacent apartment	4	1	240082 all
for all practical purposes	4	1	60300 all
one at a time	4	1	505853 all
as if by magic	4	1	129788 all
at a low price	4	1	158575 all
by a long shot	4	1	155343 all
day in day out	4	1	177926 all
in a broad way	4	1	104233 all
in a low voice	4	1	257418 all
in a pig's eye	4	1	164676 all
that is to say	4	1	188510 all
in the long run	4	1	167447 all
on the one hand	4	1	119798 all
once in a while	4	1	21212 all
out of the blue	4	1	40719 all
out of thin air	4	1	171543 all
at a lower place	4	1	80039 all
at an equal rate	4	1	257026 all
from head to toe	4	1	251706 all
in a similar way	4	1	165561 all
in and of itself	4	1	36762 all
in her own right	4	1	223138 all
in his own right	4	1	223138 all
in its own right	4	1	223138 all
in point of fact	4	1	148869 all
on a lower floor	4	1	94396 all
once and for all	4	1	92985 all
to a lower place	4	1	80039 all
ahead of the game	4	1	151655 all
as the crow flies	4	1	152998 all
close to the wind	4	1	160288 all
for all the world	4	1	159373 all
for love or money	4	1	159373 all
for the most part	4	1	6105 all
forever and a day	4	1	89076 all
from time to time	4	1	21212 all
in a higher place	4	1	80169 all
on a higher floor	4	1	94545 all
on the other hand	4	1	119578 all
to a great extent	4	1	176383 all
to a higher place	4	1	80169 all
as far as possible	4	1	119230 all
by fits and starts	4	1	156117 all
by right of office	4	1	252499 all
by trial and error	4	1	84038 all
every now and then	4	1	157412 all
for the first time	4	1	103554 all
for the time being	4	1	54327 all
in a heartfelt way	4	1	77912 all
in one's own right	4	1	223138 all
in the same breath	4	1	167702 all
last but not least	4	1	65963 all
on a regular basis	4	1	195024 all
to a lesser extent	4	1	99527 all
as much as possible	4	1	119230 all
for a bargain price	4	1	158575 all
from pillar to post	4	1	509287 all
in a beastly manner	4	1	280427 all
in an elaborate way	4	1	84840 all
more often than not	4	1	155621 all
over and over again	4	1	176981 all
all the way	3	3	152173 all 285854 all 152066 all
on the spot	3	3	170715 all 170867 all 171027 all
one by one	3	3	505853 all 156387 all 207668 all
little by little	3	2	155995 all 422281 all
so to speak	3	2	152776 all 152882 all
up and down	3	2	224602 all 76512 all
a great deal	3	2	59171 all 59413 all
hand in hand	3	2	147597 all 245166 all
in the least	3	2	56729 all 150558 all
more or less	3	2	7015 all 36291 all
out of sight	3	2	510105 all 252249 all
step by step	3	2	107987 all 216278 all
up to now	3	2	172151 all 27918 all
bit by bit	3	2	107987 all 422281 all
in the end	3	2	167447 all 47903 all
all at once	3	2	461834 all 151957 all
at any rate	3	2	26571 all 104661 all
at one time	3	2	153261 all 118965 all
in any case	3	2	26571 all 29037 all
in the beginning	3	2	431941 all 167286 all
in the main	3	2	73897 all 41954 all
out of wedlock	3	2	362650 all 171673 all
every which way	3	2	70765 all 163590 all
by artificial means	3	1	140566 all
in large quantities	3	1	260704 all
one one's coattails	3	1	119357 all
through and through	3	1	57626 all
backward and forward	3	1	76193 all
through an experiment	3	1	85339 all
in everyone's thoughts	3	1	167175 all
under the circumstances	3	1	172641 all
through empirical observation	3	1	84038 all
last not least	3	1	65963 all
like an expert	3	1	214289 all
like the devil	3	1	168564 all
month by month	3	1	178213 all
not to mention	3	1	63369 all
of each person	3	1	501291 all
off the record	3	1	169443 all
on the average	3	1	169659 all
out of nothing	3	1	171543 all
time and again	3	1	176981 all
to that degree	3	1	98959 all
to that effect	3	1	172443 all
to that extent	3	1	98959 all
tooth and nail	3	1	172348 all
unable to help	3	1	208773 all
very much like	3	1	188600 all
a hundred times	3	1	359932 all
a million times	3	1	344659 all
after a fashion	3	1	151040 all
again and again	3	1	176981 all
at arm's length	3	1	249549 all
at first glance	3	1	103324 all
down the stairs	3	1	94396 all
for each person	3	1	501291 all
for that matter	3	1	100773 all
head over heels	3	1	163704 all
heels over head	3	1	163704 all
in good spirits	3	1	236546 all
in that respect	3	1	109461 all
in the meantime	3	1	64946 all
magna cum laude	3	1	291368 all
on the contrary	3	1	170412 all
round the clock	3	1	152559 all
summa cum laude	3	1	291477 all
to the contrary	3	1	170412 all
week after week	3	1	178028 all
when first seen	3	1	103426 all
across the board	3	1	150925 all
against the wind	3	1	94893 all
around the clock	3	1	152559 all
by small degrees	3	1	155995 all
cash on delivery	3	1	253938 all
for good measure	3	1	159150 all
in loco parentis	3	1	256073 all
in someone's way	3	1	41570 all
in that location	3	1	109151 all
into the bargain	3	1	80304 all
like blue murder	3	1	86255 all
on the coattails	3	1	119357 all
sure as shooting	3	1	144722 all
across the nation	3	1	407215 all
against the clock	3	1	151521 all
in all likelihood	3	1	138611 all
in fiscal matters	3	1	131429 all
one after another	3	1	505853 all
whatever may come	3	1	156833 all
across the country	3	1	407215 all
hither and thither	3	1	509287 all
in all probability	3	1	138611 all
in great confusion	3	1	163704 all
week by week	3	1	178116 all
what is more	3	1	29367 all
ahead of time	3	1	100082 all
also known as	3	1	270446 all
and then some	3	1	152440 all
at first hand	3	1	340403 all
at that place	3	1	109151 all
body and soul	3	1	164353 all
cheek by jowl	3	1	163480 all
day after day	3	1	177926 all
even a little	3	1	150558 all
for any price	3	1	159373 all
for dear life	3	1	158725 all
from each one	3	1	239908 all
from way back	3	1	160177 all
god knows how	3	1	190211 all
hand and foot	3	1	147502 all
hand in glove	3	1	163340 all
hand to mouth	3	1	54831 all
in a nutshell	3	1	290136 all
in cold blood	3	1	164890 all
in due course	3	1	165269 all
in due season	3	1	165269 all
in full swing	3	1	165445 all
in good order	3	1	196203 all
into the wind	3	1	94893 all
more and more	3	1	59854 all
neck and neck	3	1	408632 all
now and again	3	1	21212 all
on that point	3	1	109461 all
on the button	3	1	368663 all
over and over	3	1	176981 all
the least bit	3	1	56729 all
the right way	3	1	196203 all
the whole way	3	1	152066 all
to be precise	3	1	227023 all
to begin with	3	1	167286 all
to the letter	3	1	172020 all
up the stairs	3	1	94545 all
word for word	3	1	257864 all
as a formality	3	1	260328 all
at any expense	3	1	153116 all
at close range	3	1	410043 all
at first blush	3	1	103426 all
at first sight	3	1	103324 all
back and forth	3	1	76193 all
below the belt	3	1	285266 all
beyond a doubt	3	1	373216 all
every so often	3	1	157412 all
first and last	3	1	158190 all
for the asking	3	1	159771 all
for the moment	3	1	54327 all
free of charge	3	1	258175 all
from the heart	3	1	378804 all
hand and glove	3	1	163340 all
hand over fist	3	1	147693 all
heart and soul	3	1	164353 all
here and there	3	1	72649 all
in full action	3	1	165445 all
in low spirits	3	1	299161 all
in other words	3	1	179333 all
in short order	3	1	166875 all
in some manner	3	1	26137 all
in the bargain	3	1	80304 all
on the q.t.	3	1	166608 all
on the side	3	1	244201 all
on the wing	3	1	505010 all
out of hand	3	1	148422 all
out of view	3	1	510105 all
pro re nata	3	1	181418 all
tete a tete	3	1	45254 all
to each one	3	1	239908 all
to the full	3	1	10466 all
to the hilt	3	1	172548 all
you said it	3	1	152345 all
all day long	3	1	304787 all
all the same	3	1	27384 all
all the time	3	1	157000 all
and so forth	3	1	103664 all
at all costs	3	1	153116 all
at long last	3	1	47903 all
at the least	3	1	104345 all
at the worst	3	1	105908 all
by all means	3	1	56916 all
by and large	3	1	155621 all
by any means	3	1	155765 all
by the piece	3	1	156387 all
face to face	3	1	44394 all
far and away	3	1	47056 all
far and near	3	1	102029 all
far and wide	3	1	102029 all
first of all	3	1	102736 all
for 24 hours	3	1	152559 all
for each one	3	1	239908 all
give or take	3	1	256693 all
hand to hand	3	1	54750 all
high and low	3	1	26061 all
in any event	3	1	26571 all
in both ears	3	1	207945 all
in good time	3	1	165269 all
in name only	3	1	165788 all
in the lurch	3	1	37876 all
in the midst	3	1	259303 all
