PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
let the cat out of the bag	7	1	937208 communication
have a bun in the oven	6	1	59019 body
take the bull by the horns	6	1	1079339 competition
pull the wool over someone's eyes	6	1	839194 communication
keep one's nose to the grindstone	6	1	2415573 social
keep one's shoulder to the wheel	6	1	2415573 social
have a go at it	5	1	1426397 contact
fly in the face of	5	1	2668798 stative
pull a fast one on	5	1	2575723 social
fly in the teeth of	5	1	2668798 stative
take it on the chin	5	1	669528 cognition
give it the deep six	5	1	2222994 possession
trip the light fantastic toe	5	1	1708676 creation
come out of the closet	5	1	935456 communication
make a clean breast of	5	1	817909 communication
pull out all the stops	5	1	1160193 consumption
take time by the forelock	5	1	2402271 social
feel like a million dollars	5	1	106217 body
blow out of the water	5	1	1809064 emotion
give it a try	4	2	2530770 social 2532458 social
bring home the bacon	4	2	2219442 possession 2524171 social
play a joke on	4	2	2577586 social 2575723 social
draw a bead on	4	2	705517 cognition 1151627 competition
create by mental act	4	1	1631534 creation
drag through the mud	4	1	848169 communication
get under one's skin	4	1	1771194 emotion
keep one's eyes open	4	1	2167210 perception
keep one's hands off	4	1	2655698 stative
know what's going on	4	1	596484 cognition
pick up the gauntlet	4	1	950206 communication
turn up the pressure	4	1	2505141 social
cause to be perceived	4	1	2123903 perception
create from raw stuff	4	1	1653013 creation
keep one's mouth shut	4	1	937619 communication
shoot one's mouth off	4	1	825776 communication
go through the motions	4	1	838786 communication
handle with kid gloves	4	1	2514704 social
keep one's eyes peeled	4	1	2167210 perception
read between the lines	4	1	621504 cognition
talk through one's hat	4	1	839526 communication
keep one's eyes skinned	4	1	2167210 perception
leave no stone unturned	4	1	1316209 contact
pass with flying colors	4	1	2522581 social
create from raw material	4	1	1653013 creation
take the fifth amendment	4	1	894499 communication
trip the light fantastic	4	1	1708676 creation
do a job on	4	1	1564836 contact
call it a day	4	1	2681335 stative
go a long way	4	1	2670270 stative
be on the ball	4	1	596484 cognition
go to the dogs	4	1	208691 change
hang by a hair	4	1	2664413 stative
keep an eye on	4	1	2455407 social
play it by ear	4	1	2370433 social
see eye to eye	4	1	805910 communication
turn on a dime	4	1	1861927 motion
give it a whirl	4	1	2532458 social
grind to a halt	4	1	1834896 motion
lay on the line	4	1	2545578 social
play a trick on	4	1	2575723 social
pull the leg of	4	1	851100 communication
put on the line	4	1	2545578 social
roll in the hay	4	1	1426397 contact
be on cloud nine	4	1	1813668 emotion
come to the fore	4	1	2089174 motion
hang by a thread	4	1	2664413 stative
have a good time	4	1	1191232 consumption
lead by the nose	4	1	839194 communication
step to the fore	4	1	2089174 motion
turn a blind eye	4	1	801977 communication
turn a nice dime	4	1	2279113 possession
turn up the heat	4	1	2505141 social
foam at the mouth	4	1	1796215 emotion
get the better of	4	1	1108148 competition
give the glad eye	4	1	2164186 perception
take a firm stand	4	1	818974 communication
take to the woods	4	1	2075049 motion
turn a nice penny	4	1	2279113 possession
call on the carpet	4	1	824767 communication
fly off the handle	4	1	1795428 emotion
froth at the mouth	4	1	1796215 emotion
get off the ground	4	1	1864438 motion
give the once over	4	1	2167875 perception
head for the hills	4	1	2075049 motion
make up one's mind	4	1	697589 cognition
pour cold water on	4	1	1819772 emotion
rain cats and dogs	4	1	2758033 weather
speak of the devil	4	1	882682 communication
think the world of	4	1	694508 cognition
throw in the towel	4	1	1083044 competition
turn a nice dollar	4	1	2279113 possession
cash in one's chips	4	1	358431 change
chuck up the sponge	4	1	1083044 competition
drop by the wayside	4	1	1083044 competition
fall by the wayside	4	1	1083044 competition
feel like a million	4	1	106217 body
go off at half-cock	4	1	2602458 social
keep one's eyes off	4	1	2655698 stative
make no bones about	4	1	817752 communication
move back and forth	4	1	1876530 motion
pull in one's horns	4	1	799383 communication
sow one's wild oats	4	1	1192179 consumption
sweep under the rug	4	1	2371469 social
throw cold water on	4	1	1819772 emotion
throw out of kilter	4	1	276601 change
beat around the bush	4	1	835506 communication
get hold of	3	3	743344 communication 1214265 contact 737656 cognition
strike a chord	3	3	592186 cognition 1759926 emotion 1769220 emotion
get rid of	3	3	2427334 social 2224055 possession 471711 change
take the floor	3	2	1983508 motion 989490 communication
keep to oneself	3	2	2214042 possession 2371352 social
catch up with	3	2	2520730 social 1155090 competition
gild the lily	3	2	183241 change 1677242 creation
hold the line	3	2	2319946 possession 790509 communication
take a dare	3	2	950206 communication 950337 communication
bear down on	3	2	1597096 contact 1927992 motion
come to life	3	2	361208 change 2665767 stative
give the axe	3	2	353639 change 2402825 social
put to sleep	3	2	1327133 contact 1494178 contact
move in on	3	2	2019175 motion 2440914 social
take a bow	3	2	899041 communication 899204 communication
take the field	3	2	1093786 competition 1154554 competition
paint the lily	3	2	183241 change 1677242 creation
wine and dine	3	2	1194777 consumption 1194661 consumption
hold one's own	3	2	2433991 social 2740859 stative
clear the throat	3	1	35089 body
cool one's heels	3	1	2638206 stative
drag one's heels	3	1	2642238 stative
draw and quarter	3	1	2483564 social
drop one's serve	3	1	1156706 competition
feast one's eyes	3	1	1820648 emotion
